,Accuracy,Precision,Recall,F1
SVM,0.9077356970185334,0.9083546074509329,0.9077356970185334,0.9079760906400739
RF,0.8742949234488316,0.89016554081931,0.8742949234488316,0.8777445251728087
XgBoost,0.8853746978243352,0.8916806336427164,0.8853746978243352,0.8869994721943741
Lr,0.9170024174053183,0.9249742336422182,0.9170024174053183,0.9185221609456111
Dt,0.8535455278001611,0.8533947977906158,0.8535455278001611,0.8534672120332283
CNN,0.976228847703465,0.9762188660165242,0.976228847703465,0.9762231739234842
,Accuracy,Precision,Recall,F1
SVM,0.9077356970185334,0.9083546074509329,0.9077356970185334,0.9079760906400739
RF,0.8742949234488316,0.89016554081931,0.8742949234488316,0.8777445251728087
XgBoost,0.8853746978243352,0.8916806336427164,0.8853746978243352,0.8869994721943741
Lr,0.9170024174053183,0.9249742336422182,0.9170024174053183,0.9185221609456111
Dt,0.8535455278001611,0.8533947977906158,0.8535455278001611,0.8534672120332283
CNN,0.976228847703465,0.9762188660165242,0.976228847703465,0.9762231739234842
,Accuracy,Precision,Recall,F1
SVM,0.8638195004029009,0.8645203543897859,0.8638195004029009,0.8641221064435652
RF,0.8881950040290089,0.8876999707629445,0.8881950040290089,0.8877956840291236
XgBoost,0.7933118452860596,0.7954774610373506,0.7933118452860596,0.7901943109946761
Lr,0.8875906526994359,0.8878070782198197,0.8875906526994359,0.8866175665719644
Dt,0.8257453666398066,0.8246614701564141,0.8257453666398066,0.824290247490124
CNN,0.9768331990330379,0.9769721043345208,0.9768331990330379,0.9768715175233816
,Accuracy,Precision,Recall,F1
SVM,0.8638195004029009,0.8645203543897859,0.8638195004029009,0.8641221064435652
RF,0.8881950040290089,0.8876999707629445,0.8881950040290089,0.8877956840291236
XgBoost,0.7933118452860596,0.7954774610373506,0.7933118452860596,0.7901943109946761
Lr,0.8875906526994359,0.8878070782198197,0.8875906526994359,0.8866175665719644
Dt,0.8257453666398066,0.8246614701564141,0.8257453666398066,0.824290247490124
CNN,0.9768331990330379,0.9769721043345208,0.9768331990330379,0.9768715175233816
,Accuracy,Precision,Recall,F1
SVM,0.8674989931534434,0.8685123484885683,0.8674989931534434,0.8679130569722266
RF,0.8912605718888441,0.890784928162166,0.8912605718888441,0.8907518344333826
XgBoost,0.7958115183246073,0.7957890427561308,0.7958115183246073,0.7931809189671711
Lr,0.8985098670962546,0.8990868436709555,0.8985098670962546,0.8975954320682056
Dt,0.8248086991542489,0.8235705686292252,0.8248086991542489,0.8235590095471506
CNN,0.9528795811518325,0.9532208746435825,0.9528795811518325,0.9529903777685881
,Accuracy,Precision,Recall,F1
SVM,0.863416599516519,0.9024366391806651,0.863416599516519,0.8707984102069334
RF,0.8281627719580983,0.907899776833997,0.8281627719580983,0.8443335411171966
XgBoost,0.8233279613215149,0.8557456419752205,0.8233279613215149,0.8310859573327125
Lr,0.8374294923448832,0.9083939191508825,0.8374294923448832,0.8513952892770567
Dt,0.8076148267526189,0.8626015151484282,0.8076148267526189,0.8204293710676948
CNN,0.9804593070104755,0.9806321337481531,0.9804593070104755,0.9804990098714055
,Accuracy,Precision,Recall,F1
SVM,0.8662907772855417,0.9027793544428074,0.8662907772855417,0.8731739207494981
RF,0.8280306081353201,0.906915525891921,0.8280306081353201,0.8440691150004188
XgBoost,0.8292388240032219,0.8654151448774952,0.8292388240032219,0.837511488124554
Lr,0.8433346757954088,0.9085866308247101,0.8433346757954088,0.8559528320606969
Dt,0.8086991542488925,0.8542979475990891,0.8086991542488925,0.8196015767845867
CNN,0.9613370922271446,0.9615752154306758,0.9613370922271446,0.9614132644530149
,Accuracy,Precision,Recall,F1
SVM,0.8841659951651893,0.8889309372474087,0.8841659951651893,0.8854942297212092
RF,0.878928283642224,0.8988593545673816,0.878928283642224,0.8829090529766724
XgBoost,0.8344077356970185,0.8789181700885794,0.8344077356970185,0.8439748257285737
Lr,0.895044319097502,0.9045402349932579,0.895044319097502,0.8971049205172711
Dt,0.8813456889605157,0.8850945539447443,0.8813456889605157,0.8824709451783248
CNN,0.9599113618049959,0.9601869299665556,0.9599113618049959,0.9599978955710212
